"Gene","p_value","log2FC","pct.1","pct.2","q_value","neg_log10_p","Classification"
"AI506816",0,-8.93458949725218,0.019,0.822,0,307.652655568589,"DOWN"
"H2-K1",0,-4.48331108862521,0.277,0.897,0,307.652655568589,"DOWN"
"Plcl1",0,2.69397652077524,0.772,0.19,0,307.652655568589,"UP"
"Magi2",0,2.80064259165812,0.846,0.264,0,307.652655568589,"UP"
"Gm19951",0,-4.90576124190273,0.22,0.772,0,307.652655568589,"DOWN"
"Pet2",0,-9.7341620090434,0.001,0.551,0,307.652655568589,"DOWN"
"Cdh18",0,-4.04526707913452,0.153,0.69,0,307.652655568589,"DOWN"
"Lrrc4c",0,1.98963287758535,0.73,0.214,0,307.652655568589,"UP"
"Pcdh9",0,2.55749559955866,0.927,0.411,0,307.652655568589,"UP"
"Grid2",0,2.08598721089999,0.683,0.17,0,307.652655568589,"UP"
"Prkn",0,1.86762509968189,0.748,0.236,0,307.652655568589,"UP"
"Lrp1b",0,2.15107746871629,0.803,0.296,0,307.652655568589,"UP"
"Plp1",0,2.75282871660857,0.667,0.163,0,307.652655568589,"UP"
"Kcnq3",0,2.3381155379728,0.635,0.142,0,307.652655568589,"UP"
"Erbb4",0,1.96244542289848,0.649,0.159,0,307.652655568589,"UP"
"Apoe",0,2.2821434093352,0.594,0.104,0,307.652655568589,"UP"
"Cdh20",0,3.0226170154296,0.567,0.079,0,307.652655568589,"UP"
"Ptprd",0,1.4196894253612,0.783,0.298,0,307.652655568589,"UP"
"Qk",0,1.87854208412274,0.861,0.377,0,307.652655568589,"UP"
"Dnm3",0,2.52020308036026,0.625,0.146,0,307.652655568589,"UP"
"Tmeff2",0,2.95059786424961,0.656,0.179,0,307.652655568589,"UP"
"Slc9a9",0,1.85510053038948,0.668,0.198,0,307.652655568589,"UP"
"Limch1",0,2.10277125612066,0.619,0.151,0,307.652655568589,"UP"
"Ctnna2",0,1.81100750647635,0.71,0.243,0,307.652655568589,"UP"
"Dlg2",0,1.35795928330317,0.726,0.259,0,307.652655568589,"UP"
"Ncam1",0,2.22754499753771,0.742,0.275,0,307.652655568589,"UP"
"Tmem178b",0,2.28762877853864,0.592,0.128,0,307.652655568589,"UP"
"Gnao1",0,2.01705994428537,0.695,0.233,0,307.652655568589,"UP"
"Col11a1",0,-4.68645397199677,0.124,0.585,0,307.652655568589,"DOWN"
"Nlgn1",0,1.53268676492659,0.703,0.245,0,307.652655568589,"UP"
"Mir100hg",0,1.99570187227829,0.699,0.243,0,307.652655568589,"UP"
"Enox1",0,2.34621246262428,0.576,0.12,0,307.652655568589,"UP"
"Tmod2",0,3.20089729044264,0.523,0.07,0,307.652655568589,"UP"
"Mbp",0,2.56714735318227,0.642,0.19,0,307.652655568589,"UP"
"Clasp2",0,1.4866913655633,0.774,0.325,0,307.652655568589,"UP"
"Gpm6b",0,2.03652728861702,0.673,0.225,0,307.652655568589,"UP"
"Abca1",0,1.42320637147772,0.613,0.169,0,307.652655568589,"UP"
"Dgkq",0,-4.72698823795473,0.128,0.572,0,307.652655568589,"DOWN"
"St6gal1",0,2.06874541938665,0.544,0.102,0,307.652655568589,"UP"
"Negr1",0,1.63761545045889,0.622,0.182,0,307.652655568589,"UP"
"Zdhhc14",0,1.76002490318052,0.621,0.184,0,307.652655568589,"UP"
"Fgfr2",0,2.07161374614582,0.584,0.15,0,307.652655568589,"UP"
"Moxd1",0,-6.67403135421634,0.015,0.448,0,307.652655568589,"DOWN"
