gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LOC100505715,25.60542817,-8.174516366,1.76347488,-4.635459488,3.56E-06,0.054999545
STAB1,576.8348506,2.195152669,0.664773283,3.302107237,0.000959614,0.999938054
HSPB8,3497.645936,-1.235284778,0.389482141,-3.171608269,0.001515973,0.999938054
PRORSD1P,18.11151059,-5.445768598,1.76977045,-3.07710449,0.00209022,0.999938054
ATP8B4,150.4134102,2.04878264,0.680327715,3.011464319,0.00259991,0.999938054
BBS10,252.1645149,-1.248861639,0.44443537,-2.809996061,0.004954211,0.999938054
PPARG,78.33248674,3.772410004,1.343385882,2.808135812,0.004982921,0.999938054
CD163,364.9585051,2.49226279,0.89259922,2.792140902,0.005236055,0.999938054
BTC,13.01308965,-7.200034176,2.581879769,-2.78867911,0.005292347,0.999938054
PCSK6,562.3784443,-3.345978188,1.207844561,-2.770205949,0.005602086,0.999938054
EPCAM,12.21163098,-7.107629072,2.619981383,-2.7128548,0.006670633,0.999938054
ELOVL2-AS1,55.43652256,-2.554616553,0.945936975,-2.700620254,0.006921031,0.999938054
SLC17A9,47.06182054,3.663926086,1.357611309,2.698803452,0.006958926,0.999938054
FMNL1,567.451153,1.566970751,0.587057158,2.669196226,0.007603302,0.999938054
LRRC17,114.1177263,-2.213341249,0.834083475,-2.653620787,0.007963326,0.999938054
C10orf105,36.94040994,-2.004773045,0.761768614,-2.631734898,0.008495012,0.999938054
APBB1IP,335.5745937,1.309459713,0.499807223,2.619929551,0.008794793,0.999938054
TMEM192,261.8158055,-0.9846618,0.378487962,-2.601567021,0.009279893,0.999938054
CSKMT,45.02306146,-2.262953721,0.87045444,-2.59973827,0.009329489,0.999938054
SGK1,2153.769682,0.932687849,0.361375201,2.580940384,0.00985316,0.999938054
SPP1,24030.3396,2.019273657,0.790962645,2.552931759,0.010682042,0.999938054
KRT17,49.61356907,1.764348691,0.692486901,2.547844137,0.010839089,0.999938054
CIMAP1B,162.5706927,2.098746094,0.825438908,2.542581982,0.011003678,0.999938054
SLC6A6,398.9793481,1.460118763,0.576827872,2.53129024,0.011364377,0.999938054
SH2D5,269.8693462,2.077658313,0.823840451,2.521918304,0.011671681,0.999938054
ITGB2,1253.908,1.560772565,0.620380849,2.515829698,0.011875255,0.999938054
LINC00639,61.64122376,-2.119839108,0.843705828,-2.51253344,0.011986774,0.999938054
PARVG,155.9362542,1.11220857,0.444469317,2.502329245,0.012337913,0.999938054
GARIN5A,59.85414369,1.636927161,0.671567501,2.437472268,0.014790349,0.999938054
PCDHB13,9.780691398,-5.931374251,2.437361704,-2.433522379,0.014952711,0.999938054
SLC7A7,258.3338163,1.423415935,0.585518941,2.431033113,0.015055838,0.999938054
STAC2,408.5655477,1.555903603,0.642843432,2.420346115,0.015505741,0.999938054
JPH2,113.8324209,-2.472164133,1.022008204,-2.418927875,0.015566326,0.999938054
PARP11,157.1344073,-1.278530572,0.533963243,-2.394416825,0.016646819,0.999938054
IFNLR1,247.4064527,2.204729098,0.92288632,2.388949808,0.016896611,0.999938054
CD247,31.43825516,2.070219274,0.867544876,2.386296468,0.017019025,0.999938054
S100A7,6.516930301,6.232333471,2.626378545,2.372976082,0.017645407,0.999938054
ZNF623,164.8724968,-1.037989309,0.43768883,-2.371523418,0.017714924,0.999938054
C4orf46,111.6673069,-1.534417483,0.648008368,-2.367897636,0.017889485,0.999938054
PIK3R5,385.6112506,1.811666896,0.770173179,2.352285103,0.018658468,0.999938054
LOC100287036,6.824587814,6.294736344,2.681234559,2.347700735,0.018889692,0.999938054
ND6,26380.37604,-1.373058408,0.589029615,-2.33105157,0.019750641,0.999938054
PHETA2,68.18718143,1.753619446,0.753262479,2.328032385,0.019910384,0.999938054
MLKL,72.9785891,1.931678651,0.830952965,2.324654621,0.020090436,0.999938054
