ens_id,gene,log2FC,aveEXP,t,p-value,q-value
ENSG00000000003,TSPAN6,3.2,4.49,42.69,2.20E-124,3.96E-123
ENSG00000000005,TNMD,0.37,0.44,3.96,9.44E-05,6.43E-06
ENSG00000000419,DPM1,0.91,4.88,17.19,1.14E-45,2.25E-46
ENSG00000000457,SCYL3,0.64,2.12,14.01,3.85E-34,5.59E-35
ENSG00000000460,FIRRM,1.54,2.03,29.24,5.75E-87,5.48E-87
ENSG00000000938,FGR,0.47,2.8,5.19,4.08E-07,3.00E-08
ENSG00000000971,CFH,1.17,3.3,8.93,6.00E-17,5.75E-18
ENSG00000001036,FUCA2,2.13,4.26,30.59,3.91E-91,4.83E-91
ENSG00000001084,GCLC,0.62,4.05,8.02,2.85E-14,2.54E-15
ENSG00000001167,NFYA,0.43,3.14,7,1.90E-11,1.57E-12
ENSG00000001460,STPG1,-1.26,2.61,-13.48,3.00E-32,4.16E-33
ENSG00000001461,NIPAL3,-1.01,3.84,-10.58,3.25E-22,3.53E-23
ENSG00000001497,LAS1L,-0.8,4.82,-12.46,1.21E-28,1.53E-29
ENSG00000001561,ENPP4,-0.31,2.77,-2.9,0.00405,0.000259
ENSG00000001617,SEMA3F,0.41,2.56,3.58,0.000399,2.66E-05
ENSG00000001626,CFTR,-0.67,1.17,-7.93,5.23E-14,4.63E-15
ENSG00000001629,ANKIB1,1.4,4.2,16.96,7.66E-45,1.48E-45
ENSG00000001630,CYP51A1,1.04,5.13,11.99,5.27E-27,6.42E-28
ENSG00000001631,KRIT1,0.54,4.23,6.57,2.42E-10,1.95E-11
ENSG00000002016,RAD52,-0.44,3.27,-5.78,2.01E-08,1.53E-09
ENSG00000002330,BAD,0.2,6.72,3.14,0.00188,0.000122
ENSG00000002549,LAP3,2.15,6.02,28.29,5.58E-84,4.57E-84
ENSG00000002586,CD99,3.65,7.95,33.13,9.74E-99,1.99E-98
ENSG00000002587,HS3ST1,1.44,1.9,15.02,9.07E-38,1.45E-38
ENSG00000002745,WNT16,0.28,0.52,3.5,0.000548,3.63E-05
ENSG00000002746,HECW1,-2.06,1.65,-23.05,1.45E-66,5.48E-67
ENSG00000002822,MAD1L1,0.13,4.42,1.92,0.0564,0.00342
ENSG00000002834,LASP1,0.72,5.64,10.19,5.94E-21,6.26E-22
ENSG00000002919,SNX11,0.86,4.23,17.51,7.94E-47,1.62E-47
ENSG00000002933,TMEM176A,2.25,5.16,15.92,4.93E-41,8.61E-42
ENSG00000003056,M6PR,1.22,5.85,21.7,7.35E-62,2.38E-62
ENSG00000003096,KLHL13,2.16,2.58,26.58,1.96E-78,1.21E-78
ENSG00000003137,CYP26B1,-1.32,1.7,-13.19,3.30E-31,4.45E-32
ENSG00000003147,ICA1,-1.5,3.96,-16.17,5.96E-42,1.06E-42
ENSG00000003249,DBNDD1,-1.36,5.19,-11.87,1.34E-26,1.62E-27
ENSG00000003393,ALS2,-0.11,3.33,-1.91,0.0575,0.00349
ENSG00000003400,CASP10,0.47,1.5,8.36,2.94E-15,2.69E-16
ENSG00000003402,CFLAR,0.75,4.27,10.53,4.58E-22,4.96E-23
ENSG00000003436,TFPI,2.87,2.85,24.58,8.58E-72,3.95E-72
ENSG00000003509,NDUFAF7,0.15,3.19,3.14,0.00187,0.000122
ENSG00000003756,RBM5,-0.49,6.17,-6.06,4.28E-09,3.34E-10
ENSG00000003987,MTMR7,-1.48,1.76,-19.88,2.12E-55,5.52E-56
ENSG00000003989,SLC7A2,-0.24,1.83,-2.19,0.0294,0.00181
ENSG00000004059,ARF5,0.69,7.76,11.04,9.49E-24,1.07E-24
ENSG00000004139,SARM1,0.44,3.67,5.34,1.92E-07,1.43E-08
ENSG00000004142,POLDIP2,0.6,6.04,11.9,1.12E-26,1.35E-27
ENSG00000004399,PLXND1,0.42,5.97,4.68,4.57E-06,3.25E-07
ENSG00000004455,AK2,2.02,6.25,36.78,4.73E-109,2.21E-108
ENSG00000004468,CD38,1.17,2.02,10.56,3.64E-22,3.95E-23
ENSG00000004478,FKBP4,-0.29,5.44,-3.95,9.72E-05,6.62E-06
ENSG00000004487,KDM1A,0.95,5.42,13.53,1.97E-32,2.75E-33
ENSG00000004534,RBM6,-0.71,5.48,-8.49,1.22E-15,1.13E-16
ENSG00000004660,CAMKK1,-3.26,3.81,-28.2,1.07E-83,8.64E-84
ENSG00000004700,RECQL,1.93,3.2,28.82,1.19E-85,1.06E-85
ENSG00000004766,VPS50,0.13,3.71,2.14,0.0335,0.00206
