"Gene","logFC_mouse","AveExpr","t","PValue","FDR","B","padj","negLog10P","Classification"
"Zbp1",-4.49397264261774,5.21144082302417,-13.9720173428547,2.77465410603314e-07,0.00178569247417688,7.37923132927664,0.00178569247417688,2.74819333171159,"DOWN"
"AI506816",-9.19813591773307,8.07473208225318,-14.1370507812089,2.51364587507436e-07,0.00178569247417688,7.34051027218002,0.00178569247417688,2.74819333171159,"DOWN"
"Rsad2",-3.90639017860088,5.45666201376679,-13.6747991064508,3.32407385364274e-07,0.00178569247417688,7.26647184560939,0.00178569247417688,2.74819333171159,"DOWN"
"Helz2",-3.80135422610424,5.32101663579622,-12.5574746816187,6.78135802122525e-07,0.00218576731740132,6.61955091157212,0.00218576731740132,2.66039607209682,"DOWN"
"Tuba1c",-4.1204342291558,3.48243943996579,-12.8320074883937,5.66207864226048e-07,0.00218576731740132,6.43619384969384,0.00218576731740132,2.66039607209682,"DOWN"
"Rps26",-3.16075533794216,6.1623833002808,-11.4339258602014,1.47539817300131e-06,0.00229907465809554,5.92129737192216,0.00229907465809554,2.6384469256109,"DOWN"
"Slfn4",-4.50698556287533,5.44911359714054,-11.4019740346405,1.50985828861564e-06,0.00229907465809554,5.87115201692772,0.00229907465809554,2.6384469256109,"DOWN"
"Cd274",-3.00833444694157,5.50541173342149,-11.3468102254797,1.57147012231357e-06,0.00229907465809554,5.85428051106014,0.00229907465809554,2.6384469256109,"DOWN"
"Ube2l6",-3.87005504478757,3.58088771687676,-11.4730277389326,1.43440654451991e-06,0.00229907465809554,5.73657465459908,0.00229907465809554,2.6384469256109,"DOWN"
"Irf1",-3.43527794223744,5.77055603913065,-11.1085373546986,1.87155022011157e-06,0.00229907465809554,5.68943911246778,0.00229907465809554,2.6384469256109,"DOWN"
"Ifi206",-3.35571760483984,4.72546676124034,-11.0746248480614,1.9191982696558e-06,0.00229907465809554,5.63864841316431,0.00229907465809554,2.6384469256109,"DOWN"
"H19",-7.00512943363618,4.02736005511701,-11.9209356685689,1.04492331563892e-06,0.00229907465809554,5.48004352412553,0.00229907465809554,2.6384469256109,"DOWN"
"Oas2",-3.33771717402114,6.13650606188284,-10.7836912640598,2.38788539856495e-06,0.00229907465809554,5.45860512060693,0.00229907465809554,2.6384469256109,"DOWN"
"Rps12",-3.26314989411164,6.22837506951064,-10.7495704097515,2.45069384853789e-06,0.00229907465809554,5.43400360673249,0.00229907465809554,2.6384469256109,"DOWN"
"Cmpk2",-3.23088432173893,4.0142065064024,-10.7396884780412,2.46922394670722e-06,0.00229907465809554,5.36650117404403,0.00229907465809554,2.6384469256109,"DOWN"
"Dhx58",-3.38622051391452,4.54619860668914,-10.5369244385568,2.88583460193722e-06,0.00229907465809554,5.24959835723737,0.00229907465809554,2.6384469256109,"DOWN"
"Ciita",-2.77799125805476,4.77226792649028,-10.3631232823913,3.30534761788351e-06,0.00229907465809554,5.13271969382936,0.00229907465809554,2.6384469256109,"DOWN"
"Tap2",-3.30451201513116,6.25669453913792,-10.3195111319086,3.42091758458165e-06,0.00229907465809554,5.11000214370087,0.00229907465809554,2.6384469256109,"DOWN"
"Cebpb",-3.16181905770385,5.09829432279676,-10.2623686425499,3.57916063659019e-06,0.00229907465809554,5.05982779694051,0.00229907465809554,2.6384469256109,"DOWN"
"Tap1",-3.87658754572244,6.15669389711538,-10.24273784905,3.63537823442854e-06,0.00229907465809554,5.04983351641688,0.00229907465809554,2.6384469256109,"DOWN"
"Rpl27",-3.03407230978392,5.74140260076918,-10.2356087299329,3.65603533695794e-06,0.00229907465809554,5.04432234913777,0.00229907465809554,2.6384469256109,"DOWN"
"Isg15",-4.1770621184658,3.87583411762414,-10.3390212540014,3.36867338061514e-06,0.00229907465809554,5.03028207550357,0.00229907465809554,2.6384469256109,"DOWN"
"Hspg2",-3.31700772594738,5.36636636208327,-10.1740362847406,3.83994626087043e-06,0.00229907465809554,4.994171160947,0.00229907465809554,2.6384469256109,"DOWN"
"Fa2h",4.21942127726166,5.54827312402067,10.2267813785404,3.68179324572932e-06,0.00229907465809554,4.9621878482353,0.00229907465809554,2.6384469256109,"UP"
